old_code,current_code,old_last_seen,current_first_seen,announcements,old_code_relisted
KSX,VHL,2006-11-28,,1,0
RSH,VHL,2019-04-11,,1,0
CAU,VIT,2022-06-16,,1,0
VSC,VLS,2016-08-30,2021-04-16,3,0
ARO,VMS,2014-07-11,,4,1
ASE,VMS,2025-07-14,,2,0
ERJ,VPR,2014-06-25,,2,0
MOZ,VRC,2014-04-16,2021-03-17,1,0
RTL,VRC,2008-04-07,2021-03-17,2,0
BML,VRL,2014-04-22,,2,1
SI6,VRL,2021-12-20,,2,0
OTC,VRS,2016-01-13,2023-09-18,1,0
IOG,VSR,2014-07-23,2023-12-15,1,0
BMO,VTA,2022-11-01,,1,0
BMG,WAU,2012-01-27,,2,0
WIL,WAX,2007-12-03,2011-06-15,1,0
FRN,WC8,2017-05-22,,4,0
ERW,WCE,2021-12-20,,1,0
WPL,WDS,2015-06-12,2023-09-14,1,0
BIC,WNR,2007-01-31,,2,0
BWR,WOT,2020-12-11,2024-09-06,1,0
VVR,WPR,2016-09-09,2025-04-09,1,0
IP1,WRK,2020-10-16,,3,0
CRJ,WSI,2014-01-16,2016-12-05,1,0
SFL,WTL,2015-05-15,,1,0
BAT,WTM,2021-12-20,,1,0
MTA,WTM,2014-07-02,,1,0
BER,WZR,2004-03-17,2023-07-05,1,0
AUG,XEN,2017-07-17,,1,1
AUK,XEN,2024-08-26,,5,0
NCL,XGL,2018-10-22,,1,0
CJC,XPD,2016-12-09,,1,0
VOR,XPD,2013-11-11,,1,0
TRT,XRA,2023-09-13,,1,0
TX3,XRA,2024-03-15,,1,0
CZL,YAR,2021-12-20,,3,0
GSF,YOW,2012-08-21,2014-06-25,3,0
LYK,YUG,2024-07-19,,2,0
DAU,ZAG,2014-08-13,2024-03-04,1,0
MSE,ZEO,2019-11-29,,1,0
ZAL,ZGL,2006-06-15,2009-08-19,3,0
RRE,ZIP,2015-06-12,,1,1
GLN,ZLD,2015-06-12,2023-09-15,2,1
GNI,ZMI,2008-04-04,2016-12-09,1,0
GXN,ZMI,2015-05-29,2016-12-09,2,0
WHN,ZMM,2016-12-09,,6,0
GSE,ZNO,2015-05-15,2022-10-31,2,0
