code,current_code,announced_on,old_registry,new_registry,headline,classification,method,pdf_url
A3D,A3D,2025-03-07,Automic,Xcend,Change of Share Registry,provider_change,cease_plus_one,https://announcements.asx.com.au/asxpdf/20250307/pdf/06gchhk2vnl14j.pdf
CCE,CCE,2025-03-07,Automic,Xcend,Change of Share Registry,provider_change,cease_plus_one,https://announcements.asx.com.au/asxpdf/20250307/pdf/06gcfwxh42zm56.pdf
CP8,CP8,2025-03-07,Automic,Computershare,Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20250307/pdf/06gcs0wnf6pwgz.pdf
SLB,SLB,2025-03-03,MUFG Corporate Markets,Automic,Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20250303/pdf/06g5rl93n53v9s.pdf
AR3,AR3,2025-02-24,Computershare,Automic,Details of Share Registry address,address_only,from_to,https://announcements.asx.com.au/asxpdf/20250224/pdf/06fvjc8x9d157n.pdf
OCT,OCT,2025-02-24,Boardroom,Automic,Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20250224/pdf/06fvymr1wh7r33.pdf
ZEU,ZEU,2025-02-24,Boardroom,Xcend,Change of Share Registry,provider_change,two_brands,https://announcements.asx.com.au/asxpdf/20250224/pdf/06ftvhfb6fn5s0.pdf
AS1,AS1,2025-02-21,MUFG Corporate Markets,Computershare,Change of Registrar,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20250221/pdf/06fsrs1kfkn268.pdf
CML,CML,2025-02-21,Computershare,Xcend,Change of Share Registry,provider_change,cease_plus_one,https://announcements.asx.com.au/asxpdf/20250221/pdf/06fsdtjx3lk851.pdf
BGD,BGD,2025-02-14,Automic,Computershare,Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20250214/pdf/06fhvqd8yz21j0.pdf
C29,C29,2025-02-14,Automic,Computershare,Change of Registrar,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20250214/pdf/06fj3c3m6kk6rt.pdf
KAI,PGL,2025-02-14,Automic,Xcend,Change of Share Registry,provider_change,cease_plus_one,https://announcements.asx.com.au/asxpdf/20250214/pdf/06fjm91zkzny8s.pdf
GMD,GMD,2025-02-05,Computershare,Automic,Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20250205/pdf/06f6wldvv47gk9.pdf
CT1,CT1,2025-01-31,Automic,Computershare,Details of Share Registry address,address_only,from_to,https://announcements.asx.com.au/asxpdf/20250131/pdf/06f1dctqbl5713.pdf
PGO,PGO,2025-01-20,Computershare,MUFG Corporate Markets,Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20250120/pdf/06dnptbksy8y94.pdf
NUZ,NUZ,2025-01-16,Computershare,Automic,Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20250116/pdf/06dl0nprl5jq8l.pdf
VAR,ARO,2025-01-10,Boardroom,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20250110/pdf/06dfj711kwzh7f.pdf
RAG,RAG,2025-01-10,Automic,Computershare,Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20250110/pdf/06dfpwk72jy45k.pdf
PVE,PVE,2024-12-13,MUFG Corporate Markets,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20241213/pdf/06cmhnpdb5g3kf.pdf
HUB,HUB,2024-12-09,MUFG Corporate Markets,Automic,HUB24 Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20241209/pdf/06cdlzzj5nfn59.pdf
IGL,IGL,2024-12-09,MUFG Corporate Markets,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20241209/pdf/06cf05pwxljpzj.pdf
